concept_id,uuid
c_12cc,bdfa3921-d0ae-4fb7-99d9-93db246b53a7
c_12cd,582ba99f-0b7b-4e52-8a54-5d3b0ad8fdc2
c_ddb1,229de9ed-d338-4d9a-bfb5-d6777c28fe18
ACF7-8YT9,0ef0f607-67c9-460e-a6fc-86ca35b4cb55
c_cb28,94de382c-d290-4d1d-8b10-28a0f61970f3
FXF3-D3G7,4ef567b1-85f0-4f03-8e71-95b3c477c848
AM6W-6QAW,685c6b65-ffcc-46f1-84e5-23aed10b65e3
63NG-B465,19976af2-ccc5-4035-ab23-c0632d19d0ca
A8F1-NPV9,b6360d63-3adc-457f-87a9-9c70a52add73
2H0M-X761,87fecb82-f708-4800-a760-5fafcf8cd2db
H41Y-FW7B,e22423c6-a3a0-4ea2-bcaf-411208376ff4
DD58-GFSX,f1b57aa0-2c3f-408f-9cc1-8aa1cf2bf4fe
FF4C-28RK,aa0b6c65-42c5-404b-80d7-56ed0a4c23de
CQMR-7K63,694dda54-8a7d-4845-859e-b75e3402ae07
W2XT-7017,b1c36467-d2f2-4376-8a74-db74ff2351c4
NHD0-W6SY,ea15de50-4dd8-469e-bcb6-733efd06df02
542X-3S04,f26b9f64-40fe-42ff-b454-8408d0fdaf26
JBNF-DYAD,ecfa81ba-1de7-4a83-ac98-9584321f6381
BW7T-YM2G,04ffd9e8-5721-4ac8-bee5-d1a2bea4013f
c_c513,7632f240-c88b-41d2-9ee4-83ef286e35b4
c_8a7e,9c437685-8062-47a1-9eb1-aa9d3a64a608
c_12ce,4850b334-63ad-49a4-84d2-a62db5ad916f
c_ecc8,27f81013-9b3e-43f7-9a5d-9da8712d7260
c_e9a0,aa39a0bc-a900-4b99-ae8c-36bce8e87d53
c_7ad9,fa478379-2fd2-447e-9c10-827c4b328ee2
c_e059,81f6e14b-07c4-46be-bba6-f81baebf2ab4
c_1843,18a2d51f-f2da-4cab-a86e-a7116719f8aa
c_15cd,46060ea0-91bd-4b35-bd7f-62305eb3c7d4
SB3Y-W4EH,ce153533-81c5-456a-9ee7-40cc97ed313f
C53B-JCY5,89b731fb-8199-4930-be3d-4c1e50917920
Z907-YMBB,f683eeb3-4787-464c-8513-903d5987cf9a
GPQ7-G5VE,3a14194c-f7b6-4bdf-bfc7-3968c800ac84
MW8G-3CR8,dd2db916-b9d4-40c7-ab95-7127089a9da8
9DKX-KSAF,6e856b16-7cca-4193-9572-7f12d18af4b9
c_5ce6,da6506db-510f-43d8-a13a-dddf83e061d8
c_c950,dff8372e-07bb-4229-b967-7ee642ad1990
QH80-2R4E,010c8d68-dd45-4922-bb6f-a4e5141d46e8
c_18cc,6ecb72bf-b275-4432-a73c-ee55f0fce4df
c_18cd,7750d6f3-03c4-46c1-b8ef-4686baea3a6d
c_18cf,d240f224-10f9-4123-bde3-25155a79989b
c_1162,73e2f501-0eb8-46f2-aeb2-cb9245d46fe0
c_86bc,3c6cbe43-e5fe-4628-b233-a795f43f4ec0
c_6947,55fdb13a-a151-456a-8004-91d5c78eab9a
c_2f33,aba9ac58-698e-482b-9524-531d471517e7
c_3248,97072cb4-f412-45a3-8201-596ba29ef54f
c_c94f,caa83394-55c9-4567-89d8-289336840617
c_18cp,1a2860b0-d1fe-429e-90d5-24523e631f3f
c_18co,21046f13-52cb-4a98-9f44-3d8caef0d338
R60J-J5BD,56180c06-d993-4d02-8135-90f2b0cf80e8
c_f744,06493ccb-c497-4655-8e91-72a0e71307b5
c_5794,2010be68-50da-4492-8916-99f8411a4946
c_6670,e9dc05a5-e8f0-4a45-8dcd-8f1851883e9d
c_0640,a16e6896-d9d8-4509-9766-9e1c30321fae
c_b239,e91fc9d1-4899-42cf-80ce-22e4fb7f0e35
c_6501,6276f8da-4bc3-484d-94a7-f56ddb3e7a18
c_7acd,9ee75343-3f60-48b9-bfde-94fcb86f2400
c_beb9,454730c5-7f8a-404b-b967-e666f8d5b0fa
c_2df8fbb1,58c62edd-bcc4-4b65-8096-5340b09057b6
c_dcae04bc,eeff52ce-aea5-4cfc-b3a2-18e7650477b0
c_7bab,dc1e16d2-0c87-43ec-a280-0c326de52567
c_545b,66cce003-16d3-4089-882d-dd182ddf3694
c_8544,76c1478c-41a7-4752-b430-0416714d446e
c_0857,7e94c1f8-941a-4b97-94d6-4e8048261bfb
c_2cd9,1b5547fa-82f0-44c8-b786-1e9afcdf7563
c_0040,b16e5110-12dc-44a2-9d7f-ced54f17bd04
c_18cw,fe49c3f1-bed7-44d0-8ee5-0da9a471ec8c
c_2fe3,a4b0d895-046b-4119-857e-b52c910ea873
c_998f,f3698bec-432d-4d38-a125-0cf5712f9969
QX5C-AR31,aa7fe658-3a48-4fcd-aa8b-4dc038f1b9ec
c_816b,109085d2-353b-4dbd-8ac0-6a3b3901e8b8
c_93fc,17156b0c-ce96-456a-bbe3-b4fdd4f21788
